Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
SC1_A10.ill_R1	3.95261	0.873814	1023611564.0	0.506761	100.0	3.410363770512162
SC1_A3.ill_R1	2.80796	0.880547	822902530.0	0.505979	99.99996254830333	3.882505039125787
SC1_A5.ill_R1	3.78169	0.875943	1110586684.0	0.506866	99.9998604372167	3.918950867480392
SC1_A8.ill_R1	3.5231199999999996	0.881505	1045965156.0	0.507791	99.99997067190662	4.153092647446989
SC1_E4.ill_R1	0.336213	0.893539	1469142781.0	0.512287	87.08626910847852	0.08142510623130977
SC1_E8.ill_R1	5.85612	0.87432	1501159292.0	0.504561	99.99991607534756	3.170715331775132
SC1_F3.ill_R1	4.66196	0.879837	1101319000.0	0.504505	99.99994059524751	2.6206109541175513
SC1_G3.ill_R1	2.8879200000000003	0.861511	612181540.0	0.503769	100.0	2.356040188145342
SC1_G9.ill_R1	2.26321	0.859026	277985817.0	0.503875	99.99988516346406	2.1327441453463067
SC1_H1.ill_R1	4.08411	0.859889	545930160.0	0.503935	99.99994161572639	2.0966376496826813
SC1_H2.ill_R1	2.87084	0.857968	467577160.0	0.504866	99.99993266877414	2.518322509838775
SC1_H5.ill_R1	0.418897	0.904611	1575563652.0	0.510181	87.91397881470749	0.056834064309451336
SC1_H7.ill_R1	21.663	0.870817	1051466032.0	0.503084	99.99987899245488	2.431586115473265
SC1_H8.ill_R1	5.27716	0.842949	404473352.0	0.501105	99.99992045449122	1.075137096684384
SC2_A1.ill_R1	4.30358	0.927519	254396721.0	0.500163	99.9977143771392	2.7138914443422264
SC2_A2.ill_R1	12.820400000000001	0.888379	501934534.0	0.497398	99.99841295032535	0.9142199650849071
SC2_A5.ill_R1	11.6623	0.928355	137005323.0	0.50481	99.99977103081925	2.7013783944681045
SC2_A6.ill_R1	1.64235	0.913776	194226092.0	0.502751	99.99982332030615	2.9848267478922113
SC2_B1.ill_R1	4.17208	0.876833	162358724.0	0.499782	99.99859020237645	1.1088058309229711
SC2_B2.ill_R1	6.38498	0.897519	301648013.0	0.505547	99.99722697348105	1.443612396436913
SC2_B5.ill_R1	8.93549	0.909246	338066391.0	0.503622	100.0	2.0232294794144843
SC2_B6.ill_R1	1.8557400000000002	0.930958	298813426.0	0.502934	100.0	3.0671205664405408
SC2_C1.ill_R1	9.13308	0.910735	438017969.0	0.501279	99.9980184518164	1.5284942125282484
SC2_C2.ill_R1	9.72261	0.897826	872370654.0	0.499174	99.99755982346014	0.922893183804226
SC2_C3.ill_R1	1.47854	0.922497	259523122.0	0.507691	100.0	2.71946551869948
SC2_C5.ill_R1	2.9801100000000003	0.877552	279026758.0	0.503518	99.99986141465152	0.9059324230123743
SC2_C6.ill_R1	10.992	0.911311	326016635.0	0.49397	100.0	1.2846592558229535
SC2_D1.ill_R1	3.71248	0.927421	267774393.0	0.508645	99.99796791748119	2.4058502300994773
SC2_D3.ill_R1	2.4122399999999997	0.953235	289067856.0	0.497547	100.0	3.7303744983389806
SC2_D5.ill_R1	3.3942	0.874526	264241779.0	0.494309	99.99985782812558	1.254951135526761
SC2_D6.ill_R1	5.6074	0.923474	580030265.0	0.510253	100.0	1.5350426346343993
SC2_E1.ill_R1	2.30088	0.875261	153979778.0	0.49966	99.9985624955078	1.2690768825319245
SC2_E2.ill_R1	3.89503	0.909596	194068426.0	0.497464	99.99808790658277	2.08781480227998
SC2_E3.ill_R1	3.80251	0.940517	559273832.0	0.495248	100.0	3.0583066421331355
SC2_E4.ill_R1	19.8519	0.876216	308829559.0	0.501146	99.99987794667246	0.951161581518197
SC2_E5.ill_R1	8.222010000000001	0.90226	252852291.0	0.500445	99.99973356282456	3.1780626287224605
SC2_E6.ill_R1	1.53817	0.909561	226525109.0	0.501208	100.0	2.3190239230734386
SC2_F1.ill_R1	7.6695899999999995	0.900985	338359028.0	0.496482	99.99794194218916	1.604370400097872
SC2_F2.ill_R1	2.97854	0.922905	32268690.0	0.501443	99.9990781455977	1.5044663845792194
SC2_F4.ill_R1	3.16135	0.878344	356002224.0	0.5051	100.0	0.8852521564946312
SC2_F5.ill_R1	19.0763	0.899257	630500600.0	0.498232	99.99993564049294	0.9106226653588815
SC2_F6.ill_R1	20.874100000000002	0.932281	129614579.0	0.497963	100.0	2.189787425683797
SC2_G1.ill_R1	3.74815	0.938997	130826990.0	0.507484	99.99830885195206	3.059045226130653
SC2_G2.ill_R1	5.8678300000000005	0.851761	326478819.0	0.50083	100.0	0.8772878800214582
SC2_G3.ill_R1	4.71532	0.881517	386577908.0	0.500028	99.99990430905878	1.4760327684059131
SC2_G4.ill_R1	5.2448500000000005	0.941384	195555287.0	0.506792	99.99984496917213	2.6634296229805297
SC2_G5.ill_R1	7.54488	0.893772	279967259.0	0.501486	100.0	1.5967264041350686
SC2_G6.ill_R1	4.3428	0.912187	325565819.0	0.510496	100.0	1.2634886622074408
SC2_H1.ill_R1	4.11797	0.928949	113067420.0	0.508021	99.99822736417917	2.2166810939526527
SC2_H2.ill_R1	5.56048	0.867503	243990877.0	0.498682	100.0	1.4609314215849727
SC2_H3.ill_R1	2.61251	0.910259	276196924.0	0.496258	100.0	2.6770552776708993
SC2_H6.ill_R1	6.983140000000001	0.899459	276091038.0	0.503337	99.99985456724302	1.0251555039754046
